Year,Conference,Team,Playoff_Finish
2015,West,Denver Nuggets,Missed Playoffs
2015,West,Sacramento Kings,Missed Playoffs
2015,West,Los Angeles Lakers,Missed Playoffs
2015,West,Minnesota Timberwolves,Missed Playoffs
2016,East,Cleveland Cavaliers,Champion
2016,East,Toronto Raptors,Conf. Finals
2016,East,Miami Heat,2nd Round
2016,East,Atlanta Hawks,2nd Round
2016,East,Boston Celtics,1st Round
2016,East,Charlotte Hornets,1st Round
2016,East,Indiana Pacers,1st Round
2016,East,Detroit Pistons,1st Round
2016,East,Chicago Bulls,Missed Playoffs
2016,East,Washington Wizards,Missed Playoffs
2016,East,Orlando Magic,Missed Playoffs
2016,East,Milwaukee Bucks,Missed Playoffs
2016,East,New York Knicks,Missed Playoffs
2016,East,Brooklyn Nets,Missed Playoffs
2016,East,Philadelphia 76ers,Missed Playoffs
2016,West,Golden State Warriors,Finals
2016,West,San Antonio Spurs,2nd Round
2016,West,Oklahoma City Thunder,Conf. Finals
2016,West,Los Angeles Clippers,1st Round
2016,West,Portland Trail Blazers,2nd Round
2016,West,Dallas Mavericks,1st Round
2016,West,Memphis Grizzlies,1st Round
2016,West,Houston Rockets,1st Round
2016,West,Utah Jazz,Missed Playoffs
2016,West,Sacramento Kings,Missed Playoffs
2016,West,Denver Nuggets,Missed Playoffs
2016,West,New Orleans Pelicans,Missed Playoffs
2016,West,Minnesota Timberwolves,Missed Playoffs
2016,West,Phoenix Suns,Missed Playoffs
2016,West,Los Angeles Lakers,Missed Playoffs
2017,East,Boston Celtics,Conf. Finals
2017,East,Cleveland Cavaliers,Finals
2017,East,Toronto Raptors,2nd Round
2017,East,Washington Wizards,2nd Round
2017,East,Atlanta Hawks,1st Round
2017,East,Milwaukee Bucks,1st Round
2017,East,Indiana Pacers,1st Round
2017,East,Chicago Bulls,1st Round
2017,East,Miami Heat,Missed Playoffs
2017,East,Detroit Pistons,Missed Playoffs
2017,East,Charlotte Hornets,Missed Playoffs
2017,East,New York Knicks,Missed Playoffs
2017,East,Orlando Magic,Missed Playoffs
2017,East,Philadelphia 76ers,Missed Playoffs
2017,East,Brooklyn Nets,Missed Playoffs
2017,West,Golden State Warriors,Champion
2017,West,San Antonio Spurs,Conf. Finals
2017,West,Houston Rockets,2nd Round
2017,West,Los Angeles Clippers,1st Round
2017,West,Utah Jazz,2nd Round
2017,West,Oklahoma City Thunder,1st Round
2017,West,Memphis Grizzlies,1st Round
2017,West,Portland Trail Blazers,1st Round
2017,West,Denver Nuggets,Missed Playoffs
2017,West,New Orleans Pelicans,Missed Playoffs
2017,West,Dallas Mavericks,Missed Playoffs
2017,West,Sacramento Kings,Missed Playoffs
2017,West,Minnesota Timberwolves,Missed Playoffs
2017,West,Los Angeles Lakers,Missed Playoffs
2017,West,Phoenix Suns,Missed Playoffs
2018,East,Toronto Raptors,2nd Round
2018,East,Boston Celtics,Conf. Finals
2018,East,Philadelphia 76ers,2nd Round
2018,East,Cleveland Cavaliers,Finals
2018,East,Indiana Pacers,1st Round
2018,East,Miami Heat,1st Round
2018,East,Milwaukee Bucks,1st Round
2018,East,Washington Wizards,1st Round
2018,East,Detroit Pistons,Missed Playoffs
2018,East,Charlotte Hornets,Missed Playoffs
2018,East,New York Knicks,Missed Playoffs
2018,East,Brooklyn Nets,Missed Playoffs
2018,East,Chicago Bulls,Missed Playoffs
2018,East,Orlando Magic,Missed Playoffs
2018,East,Atlanta Hawks,Missed Playoffs
2018,West,Houston Rockets,Conf. Finals
2018,West,Golden State Warriors,Champion
2018,West,Portland Trail Blazers,1st Round
2018,West,Oklahoma City Thunder,1st Round
2018,West,Utah Jazz,2nd Round
2018,West,New Orleans Pelicans,2nd Round
2018,West,San Antonio Spurs,1st Round
2018,West,Minnesota Timberwolves,1st Round
2018,West,Denver Nuggets,Missed Playoffs
2018,West,Los Angeles Clippers,Missed Playoffs
2018,West,Los Angeles Lakers,Missed Playoffs
2018,West,Sacramento Kings,Missed Playoffs
2018,West,Dallas Mavericks,Missed Playoffs
2018,West,Memphis Grizzlies,Missed Playoffs
2018,West,Phoenix Suns,Missed Playoffs
2019,East,Milwaukee Bucks,Conf. Finals
2019,East,Toronto Raptors,Champion
2019,East,Philadelphia 76ers,2nd Round
2019,East,Boston Celtics,2nd Round
2019,East,Indiana Pacers,1st Round
2019,East,Brooklyn Nets,1st Round
2019,East,Orlando Magic,1st Round
2019,East,Detroit Pistons,1st Round
2019,East,Charlotte Hornets,Missed Playoffs
2019,East,Miami Heat,Missed Playoffs
2019,East,Washington Wizards,Missed Playoffs
2019,East,Atlanta Hawks,Missed Playoffs
2019,East,Chicago Bulls,Missed Playoffs
2019,East,Cleveland Cavaliers,Missed Playoffs
2019,East,New York Knicks,Missed Playoffs
2019,West,Golden State Warriors,Finals
2019,West,Denver Nuggets,2nd Round
2019,West,Portland Trail Blazers,Conf. Finals
2019,West,Houston Rockets,2nd Round
2019,West,Utah Jazz,1st Round
2019,West,Oklahoma City Thunder,1st Round
2019,West,San Antonio Spurs,1st Round
2019,West,Los Angeles Clippers,1st Round
2019,West,Sacramento Kings,Missed Playoffs
2019,West,Los Angeles Lakers,Missed Playoffs
2019,West,Minnesota Timberwolves,Missed Playoffs
2019,West,Memphis Grizzlies,Missed Playoffs
2019,West,New Orleans Pelicans,Missed Playoffs
2019,West,Dallas Mavericks,Missed Playoffs
2019,West,Phoenix Suns,Missed Playoffs
2020,East,Milwaukee Bucks,2nd Round
2020,East,Toronto Raptors,2nd Round
2020,East,Boston Celtics,Conf. Finals
2020,East,Indiana Pacers,1st Round
2020,East,Miami Heat,Finals
2020,East,Philadelphia 76ers,1st Round
2020,East,Brooklyn Nets,1st Round
2020,East,Orlando Magic,1st Round
2020,East,Washington Wizards,Missed Playoffs
2020,East,Charlotte Hornets,Missed Playoffs
2020,East,Chicago Bulls,Missed Playoffs
2020,East,New York Knicks,Missed Playoffs
2020,East,Detroit Pistons,Missed Playoffs
2020,East,Atlanta Hawks,Missed Playoffs
2020,East,Cleveland Cavaliers,Missed Playoffs
2020,West,Los Angeles Lakers,Champion
2020,West,Los Angeles Clippers,2nd Round
2020,West,Denver Nuggets,Conf. Finals
2020,West,Houston Rockets,2nd Round
2020,West,Oklahoma City Thunder,1st Round
2020,West,Utah Jazz,1st Round
2020,West,Dallas Mavericks,1st Round
2020,West,Portland Trail Blazers,1st Round
2020,West,Memphis Grizzlies,Missed Playoffs
2020,West,Phoenix Suns,Missed Playoffs
2020,West,San Antonio Spurs,Missed Playoffs
2020,West,Sacramento Kings,Missed Playoffs
2020,West,New Orleans Pelicans,Missed Playoffs
2020,West,Minnesota Timberwolves,Missed Playoffs
2020,West,Golden State Warriors,Missed Playoffs
2021,East,Philadelphia 76ers,2nd Round
2021,East,Brooklyn Nets,2nd Round
2021,East,Milwaukee Bucks,Champion
2021,East,New York Knicks,1st Round
2021,East,Atlanta Hawks,Conf. Finals
2021,East,Miami Heat,1st Round
2021,East,Boston Celtics,1st Round
2021,East,Washington Wizards,1st Round
2021,East,Indiana Pacers,Missed Playoffs
2021,East,Charlotte Hornets,Missed Playoffs
2021,East,Chicago Bulls,Missed Playoffs
2021,East,Toronto Raptors,Missed Playoffs
2021,East,Cleveland Cavaliers,Missed Playoffs
2021,East,Orlando Magic,Missed Playoffs
2021,East,Detroit Pistons,Missed Playoffs
2021,West,Utah Jazz,2nd Round
2021,West,Phoenix Suns,Finals
2021,West,Denver Nuggets,2nd Round
2021,West,Los Angeles Clippers,Conf. Finals
2021,West,Dallas Mavericks,1st Round
2021,West,Portland Trail Blazers,1st Round
2021,West,Los Angeles Lakers,1st Round
2021,West,Golden State Warriors,1st Round
2021,West,Memphis Grizzlies,Missed Playoffs
2021,West,San Antonio Spurs,Missed Playoffs
2021,West,New Orleans Pelicans,Missed Playoffs
2021,West,Sacramento Kings,Missed Playoffs
2021,West,Minnesota Timberwolves,Missed Playoffs
2021,West,Oklahoma City Thunder,Missed Playoffs
2021,West,Houston Rockets,Missed Playoffs
2022,East,Miami Heat,Conf. Finals
2022,East,Boston Celtics,Finals
2022,East,Milwaukee Bucks,2nd Round
2022,East,Philadelphia 76ers,2nd Round
2022,East,Toronto Raptors,1st Round
2022,East,Chicago Bulls,1st Round
2022,East,Brooklyn Nets,1st Round
2022,East,Cleveland Cavaliers,1st Round
2022,East,Atlanta Hawks,Missed Playoffs
2022,East,Charlotte Hornets,Missed Playoffs
2022,East,New York Knicks,Missed Playoffs
2022,East,Washington Wizards,Missed Playoffs
2022,East,Indiana Pacers,Missed Playoffs
2022,East,Detroit Pistons,Missed Playoffs
2022,East,Orlando Magic,Missed Playoffs
2022,West,Phoenix Suns,2nd Round
2022,West,Memphis Grizzlies,2nd Round
2022,West,Golden State Warriors,Champion
2022,West,Dallas Mavericks,Conf. Finals
2022,West,Utah Jazz,1st Round
2022,West,Denver Nuggets,1st Round
2022,West,Minnesota Timberwolves,1st Round
2022,West,Los Angeles Clippers,1st Round
2022,West,New Orleans Pelicans,Missed Playoffs
2022,West,San Antonio Spurs,Missed Playoffs
2022,West,Los Angeles Lakers,Missed Playoffs
2022,West,Sacramento Kings,Missed Playoffs
2022,West,Portland Trail Blazers,Missed Playoffs
2022,West,Oklahoma City Thunder,Missed Playoffs
2022,West,Houston Rockets,Missed Playoffs
2023,East,Milwaukee Bucks,1st Round
2023,East,Boston Celtics,Conf. Finals
2023,East,Philadelphia 76ers,2nd Round
2023,East,Cleveland Cavaliers,1st Round
2023,East,New York Knicks,2nd Round
2023,East,Brooklyn Nets,1st Round
2023,East,Miami Heat,Finals
2023,East,Atlanta Hawks,1st Round
2023,East,Toronto Raptors,Missed Playoffs
2023,East,Chicago Bulls,Missed Playoffs
2023,East,Indiana Pacers,Missed Playoffs
2023,East,Washington Wizards,Missed Playoffs
2023,East,Orlando Magic,Missed Playoffs
2023,East,Charlotte Hornets,Missed Playoffs
2023,East,Detroit Pistons,Missed Playoffs
2023,West,Denver Nuggets,Champion
2023,West,Memphis Grizzlies,1st Round
2023,West,Sacramento Kings,1st Round
2023,West,Phoenix Suns,2nd Round
2023,West,Los Angeles Clippers,1st Round
2023,West,Golden State Warriors,2nd Round
2023,West,Los Angeles Lakers,Conf. Finals
2023,West,Minnesota Timberwolves,1st Round
2023,West,New Orleans Pelicans,Missed Playoffs
2023,West,Oklahoma City Thunder,Missed Playoffs
2023,West,Dallas Mavericks,Missed Playoffs
2023,West,Utah Jazz,Missed Playoffs
2023,West,Portland Trail Blazers,Missed Playoffs
2023,West,Houston Rockets,Missed Playoffs
2023,West,San Antonio Spurs,Missed Playoffs
2024,East,Boston Celtics,Champion
2024,East,New York Knicks,2nd Round
2024,East,Milwaukee Bucks,1st Round
2024,East,Cleveland Cavaliers,2nd Round
2024,East,Orlando Magic,1st Round
2024,East,Indiana Pacers,Conf. Finals
2024,East,Philadelphia 76ers,1st Round
2024,East,Miami Heat,1st Round
2024,East,Chicago Bulls,Missed Playoffs
2024,East,Atlanta Hawks,Missed Playoffs
2024,East,Brooklyn Nets,Missed Playoffs
2024,East,Toronto Raptors,Missed Playoffs
2024,East,Charlotte Hornets,Missed Playoffs
2024,East,Washington Wizards,Missed Playoffs
2024,East,Detroit Pistons,Missed Playoffs
2024,West,Oklahoma City Thunder,2nd Round
2024,West,Denver Nuggets,2nd Round
2024,West,Minnesota Timberwolves,Conf. Finals
2024,West,Los Angeles Clippers,1st Round
2024,West,Dallas Mavericks,Finals
2024,West,Phoenix Suns,1st Round
2024,West,New Orleans Pelicans,1st Round
2024,West,Los Angeles Lakers,1st Round
2024,West,Sacramento Kings,Missed Playoffs
2024,West,Golden State Warriors,Missed Playoffs
2024,West,Houston Rockets,Missed Playoffs
2024,West,Utah Jazz,Missed Playoffs
2024,West,Memphis Grizzlies,Missed Playoffs
2024,West,San Antonio Spurs,Missed Playoffs
2024,West,Portland Trail Blazers,Missed Playoffs
