Year,Conference,Team,Playoff_Finish
2015,East,Indiana Pacers,Missed Playoffs
2015,East,Miami Heat,Missed Playoffs
2015,East,Charlotte Hornets,Missed Playoffs
2015,East,Detroit Pistons,Missed Playoffs
2015,East,Orlando Magic,Missed Playoffs
2015,East,Philadelphia 76ers,Missed Playoffs
2015,East,New York Knicks,Missed Playoffs
2015,West,Golden State Warriors,Champion
2015,West,Los Angeles Clippers,2nd Round
2015,West,Houston Rockets,Conf. Finals
2015,West,Memphis Grizzlies,2nd Round
2015,West,San Antonio Spurs,1st Round
2015,West,Portland Trail Blazers,1st Round
2015,West,Dallas Mavericks,1st Round
2015,West,Oklahoma City Thunder,1st Round
2015,West,New Orleans Pelicans,Missed Playoffs
2015,West,Phoenix Suns,Missed Playoffs
2015,West,Utah Jazz,Missed Playoffs
